system   D            wsystem.c:583  maybe_parent_dir                 [   0.00137] Also searching C:\Users\Mike\Documents\GitHub\Vintage-RPG\
display  D   display_settings.c:191  debug_display_settings           [   0.04487] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04489] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04491] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04494] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04496] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04498] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04500] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04503] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04505] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04508] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04510] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04512] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04514] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04517] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04519] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04521] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04524] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04527] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04530] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04534] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04537] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04540] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04544] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04546] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04548] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04551] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04553] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04556] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04558] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04560] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04562] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04565] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04567] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04570] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04572] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04574] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04576] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04579] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04581] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04584] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04586] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04588] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04590] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04593] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04595] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04597] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04600] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04609] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04612] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04614] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04617] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04619] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04621] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04624] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04626] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04629] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04631] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04634] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.04638] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.04798] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.04812] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.07259] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.08385] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.08390] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.08394] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.08399] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.08402] Returning d3d_display: 029353D0
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.08404] al_display=029353D0
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.08405] al_display->vt=02935308
dtor     D               dtor.c:184  _al_register_destructor          [   0.08569] added dtor for object 0293A8A8, func 0F3427CF
dtor     D               dtor.c:184  _al_register_destructor          [   0.08574] added dtor for object 0293AA70, func 0F3424FA
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09136] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09139] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09140] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09142] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09143] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09144] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09145] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09147] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09148] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09149] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09150] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09152] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09154] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09176] added dtor for object 04324FE0, func 0F3425BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09486] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09491] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09598] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09600] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09602] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09604] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09606] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09608] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09610] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09611] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09613] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09615] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09616] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09618] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09620] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09654] added dtor for object 0293E400, func 0F3425BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09718] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09721] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09798] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09801] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09802] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09803] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09804] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09806] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09807] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09808] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09809] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09810] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09812] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09813] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09814] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09851] added dtor for object 0293E5C8, func 0F3425BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09923] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09926] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10054] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10056] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10058] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10060] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10061] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10062] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10064] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10065] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10066] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.10067] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.10069] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.10070] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.10071] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10088] added dtor for object 0293E7A0, func 0F3425BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10115] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10117] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10170] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10172] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10174] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10175] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10176] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10177] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10179] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10180] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10181] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.10183] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.10184] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.10185] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.10187] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10256] added dtor for object 0293E968, func 0F3425BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10435] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10437] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10612] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10614] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10616] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10617] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10618] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10619] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10621] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10622] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10623] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.10624] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.10626] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.10628] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.10629] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10733] added dtor for object 0293EBA0, func 0F3425BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11510] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11515] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12107] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12110] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12111] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12112] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12113] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12115] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12116] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12117] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12118] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.12119] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.12120] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.12122] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.12123] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.12152] added dtor for object 0293ED78, func 0F3425BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12191] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12193] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12260] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12263] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12264] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12265] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12266] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12267] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12269] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12270] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12271] Fake format
